State,District,year,murder,attempt to murder,culpable homicide not amounting or murder,rape,custodial rape,other rape,kidnapping & abduction,kidnapping and abduction of women and girls,kidnapping and abduction of others,dacoity,preparation and assembly for dacoity,robbery,burglary,theft,auto theft,other theft,riots,criminal breach of trust,cheating,counterfieting,arson,hurt/grevious hurt,dowry deaths,assault on women with intent to outrage her modesty,insult to modesty of women,cruelty by husband or his relatives,importation of girls from foreign countries,causing death by negligence,other ipc crimes,total ipc crimes,TOTAL_CRIME,LATITUDE,LONGITUDE,Cluster
MIZORAM,LAWNGTLAI,2001,2,0,0,2,0,2,0,0,0,1,0,0,10,25,0,25,0,0,2,0,1,5,0,0,0,0,0,0,112,160,160,13.167970958219133,77.47219691547947,2
MIZORAM,LUNGLEI,2001,5,4,0,3,0,3,0,0,0,1,0,0,47,120,5,115,0,1,5,0,0,5,0,11,0,0,0,0,27,229,229,13.136580664671788,77.588774058222,2
MIZORAM,SAIHA,2001,2,2,0,3,0,3,0,0,0,0,0,1,29,0,0,0,0,0,6,0,0,9,0,6,0,0,0,0,124,182,182,12.965388342569428,77.61151451586325,2
NAGALAND,KIPHIRE,2001,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,18,18,13.019062136105441,77.46780750335135,0
NAGALAND,KOHIMA,2001,25,16,0,6,0,6,3,0,3,2,0,19,30,66,40,26,0,7,16,2,0,6,0,6,0,0,0,0,131,335,335,12.965268941652074,77.40954903061794,1
NAGALAND,MOKOKCHUNG,2001,12,2,4,1,0,1,1,0,1,1,0,5,14,12,1,11,0,0,3,0,1,5,0,0,0,0,0,0,32,93,93,13.029176013263132,77.76950197422097,0
NAGALAND,MON,2001,3,3,1,2,0,2,2,2,0,1,0,5,13,6,0,6,0,1,2,0,0,6,0,0,0,0,0,3,9,57,57,13.060212100656756,77.66320876731812,0
NAGALAND,PEREN,2001,0,2,0,0,0,0,0,0,0,0,0,1,9,4,0,4,0,0,1,0,0,0,0,0,0,0,0,0,11,28,28,13.155480693693594,77.58202507301432,0
NAGALAND,PHEK,2001,7,4,0,1,0,1,2,0,2,2,0,2,9,7,0,7,0,0,0,0,0,5,0,0,0,0,0,0,12,51,51,13.087955508485942,77.40782105538202,0
NAGALAND,TUENSANG,2001,1,3,0,0,0,0,0,0,0,1,0,2,7,5,0,5,0,2,2,0,0,0,0,0,0,0,0,0,18,41,41,13.041360808056208,77.47457454207874,0
NAGALAND,WOKHA,2001,12,3,0,1,0,1,2,0,2,0,0,3,11,28,0,28,2,0,1,0,0,5,0,0,0,0,0,2,23,93,93,13.15443163422381,77.61393211724062,0
NAGALAND,ZUNHEBOTO,2001,4,1,0,2,0,2,0,0,0,0,0,3,13,11,0,11,0,0,2,0,0,0,0,0,0,0,0,0,18,54,54,13.181022301035703,77.71542353044798,0
ODISHA,DEOGARH,2001,16,2,1,8,0,8,4,4,0,3,0,7,23,22,0,22,17,1,2,0,2,160,2,33,0,8,0,15,37,363,363,13.040407012698768,77.61035010268326,1
ODISHA,SRP(ROURKELA),2001,7,1,0,2,0,2,3,3,0,2,1,10,10,135,3,132,7,0,1,1,0,6,0,2,0,0,0,0,81,269,269,13.16342529741327,77.40960966326476,1
PUNJAB,MANSA,2001,25,21,1,6,0,6,5,4,1,1,0,0,31,42,17,25,0,6,36,0,2,133,2,3,0,3,0,0,108,425,425,13.166889968952084,77.48651871205438,1
SIKKIM,NORTH,2001,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,0,0,3,0,0,4,0,0,0,0,0,1,22,36,36,13.011325099952069,77.52234621125325,0
SIKKIM,WEST,2001,1,1,0,0,0,0,1,1,0,0,0,1,6,12,2,10,2,0,0,0,0,6,0,0,2,0,0,2,16,50,50,12.939688094056333,77.61720535649361,0
UTTARAKHAND,ALMORA,2001,18,12,2,4,0,4,1,1,0,7,0,7,12,55,5,50,4,5,11,0,2,28,3,5,0,5,0,0,70,251,251,13.149701908904028,77.62658136088139,2
UTTARAKHAND,CHAMPAWAT,2001,3,3,2,0,0,0,3,3,0,1,0,4,8,13,2,11,1,0,6,0,1,29,0,7,0,5,0,4,37,127,127,13.171201573591498,77.65091297578651,2
UTTARAKHAND,RUDRA PRAYAG,2001,5,2,0,2,0,2,0,0,0,0,0,1,3,20,0,20,10,2,1,0,0,6,3,3,1,2,0,10,35,106,106,13.060576881381738,77.79308374524179,0
A & N ISLANDS,NICOBAR,2001,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,13,21,21,13.096634219035492,77.78715632123759,0
DAMAN & DIU,DAMAN,2001,6,5,0,0,0,0,5,3,2,0,0,0,39,34,20,14,14,4,7,1,3,18,0,0,0,4,0,0,54,194,194,13.16029075827532,77.53458692201266,2
DAMAN & DIU,DIU,2001,1,0,0,0,0,0,0,0,0,0,0,0,4,6,0,6,9,1,2,0,0,3,0,0,0,0,0,0,19,45,45,13.013214041600083,77.53395371987786,0
DAMAN & DIU,TOTAL,2001,7,5,0,0,0,0,5,3,2,0,0,0,43,40,20,20,23,5,9,1,3,21,0,0,0,4,0,0,73,239,239,12.891463023517662,77.5513819573389,2
DELHI UT,S.T.F.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.839486414898468,77.43412087555562,0
LAKSHADWEEP,LAKSHADWEEP,2001,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,10,1,1,0,0,2,3,0,0,0,0,0,0,17,36,36,12.819509176052302,77.43885541931165,0
LAKSHADWEEP,TOTAL,2001,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,10,1,1,0,0,2,3,0,0,0,0,0,0,17,36,36,13.11193730150509,77.6383324532294,0
